Company Name,Classification,Country
Acuitas Therapeutics,Nanotechnology,Canada
OncoArendi Therapeutics SA,Early Stage Biotech,Poland
Abacus Diagnostica,Medical Diagnostics,Finland
Highland Therapeutics,Early Stage Biotech,Canada
Genome Diagnostics B.V.,Medical Diagnostics,Netherlands
Grifols Deutschland GmbH,BioSystems,Germany
DDD Danish Diagnostic Development A/S,Medical Diagnostics,Denmark
Somagen Diagnostics,Medical Devices,Canada
Parvus Therapeutics,Rare Disease,United States
Diagnosticum Zrt,Medical Devices,Hungary
Enigma Diagnostics,Medical Devices,United Kingdom
BDS INTERNATIONAL Diagnostics GmbH,Medical Diagnostics,Germany
A.Menarini Diagnostics Ltd,Medical Diagnostics,United Kingdom
Kem-En-Tec Diagnostics A/S,Medical Devices,Denmark
AdeTherapeutics Inc.,Early Stage Biotech,Canada
Specialised Therapeutics Australia,Healthcare Analytics,Australia
"1ST Biotherapeutics, Inc.",Rare Disease,"Korea, Republic of"
AIMM Therapeutics,Rare Disease,Netherlands
Beyond Air Inc,Healthcare Analytics,United States
Alectos Therapeutics,Healthcare Analytics,Canada
ReGen Therapeutics Plc,Medical Devices,United Kingdom
Neumann Diagnostics,BioSystems,Hungary
Crescent Diagnostics Ltd,Medical Diagnostics,United Kingdom
Microtest Matrices Ltd,Medical Devices,United Kingdom
Particle Therapeutics,Medical Devices,United Kingdom
Gyroscope Therapeutics Limited,Genomics/Gene Therapy,United Kingdom
Isarna Therapeutics,Misc,Germany
ScarX Therapeutics,Early Stage Biotech,Canada
Modus Therapeutics,Biosystems,Sweden
NBE Therapeutics,Biosystems,Switzerland
Vernalis,Biosystems,United Kingdom
Prexton Therapeutics,Early Stage Biotech,Switzerland
Neurimmune Therapeutics,Misc,Switzerland
nLife Therapeutics,Early Stage Biotech,Spain
Enterprise Therapeutics,BioSystems,United Kingdom
EpimAb Biotherapeutics,BioSystems,China
Evox Therapeutics,Rare Disease,United Kingdom
Stealthyx Therapeutics,Healthcare Analytics,United Kingdom
Phico Therapeutics,Early Stage Biotech,United Kingdom
Feldan Therapeutics,Nanotechnology,Canada
Aelix Therapeutics,Rare Disease,Spain
"Alethia BioTherapeutics, Inc.",Rare Disease,Canada
Repare Therapeutics,Genomics/Gene Therapy,Canada
STORM Therapeutics,Genomics/Gene Therapy,United Kingdom
Arquer Diagnostics,Medical Diagnostics,United Kingdom
Atomo Diagnostics,Medical Diagnostics,Australia
MeMed Diagnostics,Medical Diagnostics,Israel
Orbsen Therapeutics,Medical Diagnostics,Ireland
CARsgen Therapeutics,Medical Diagnostics,China
Advanced Cancer Therapeutics,Healthcare Analytics,United States
Altheus Therapeutics Inc,Healthcare Analytics,United States
"Cellerant Therapeutics, Inc.",Bioinformatics,United States
Amorsa Therapeutics,BioSystems,United States
Annias Immunotherapeutics,Digital Health,United States
Anthos Therapeutics,Healthcare Analytics,United States
"Antidote Therapeutics, Inc",Rare Disease,United States
Aptamir Therapeutics,Bioinformatics,United States
BioAegis Therapeutics,BioSystems,United States
Bridge Therapeutics,Healthcare Analytics,United States
C2 Therapeutics,Digital Health,United States
"Cellics Therapeutics, Inc.",Rare Disease,United States
Circuit Therapeutics,Genomics/Gene Therapy,United States
Context Therapeutics,Healthcare Analytics,United States
"Copernicus Therapeutics, Inc.",Genomics/Gene Therapy,United States
GO Therapeutics,BioSystems,United States
rEVO Biologics Inc,BioSystems,United States
Artiva Biotherapeutics,BioSystems,United States
BEAT BioTherapeutics,BioSystems,United States
"Chiesi, USA, Inc.",Rare Disease,United States
"Chrysalis Biotherapeutics, Inc.",Stem Cell,United States
Clover Therapeutics,Nanotechnology,United States
Colorado Therapeutics LLC,Medical Devices,United States
Geom Therapeutics,BioSystems,United States
Hormone Therapeutics,Healthcare Analytics,United States
Orum Therapeutics,BioSystems,"Korea, Republic of"
Quiet Therapeutics,BioSystems,Israel
TenNor Therapeutics,BioSystems,China
Comet Therapeutics,BioSystems,United States
Topas Therapeutics GmbH,BioSystems,Germany
Vivet Therapeutics,BioSystems,France
Zucara Therapeutics,BioSystems,Canada
Carisma Therapeutics Inc,Bioinformatics,United States
Carmell Therapeutics,BioSystems,United States
Actuate Therapeutics Inc,Healthcare Analytics,United States
"Adaptive Phage Therapeutics, Inc.",Healthcare Analytics,United States
Amakem Therapeutics (Formerly Known As Amakem NV),Healthcare Analytics,Belgium
Amphivena Therapeutics,BioSystems,United States
Arcion Therapeutics,Bioinformatics,United States
Arete Therapeutics,Bioinformatics,United States
Ascenta Therapeutics Inc.,Medical Diagnostics,United States
Axerion Therapeutics Inc.,BioSystems,United States
Axial Biotherapeutics,BioSystems,United States
"BioEclipse Therapeutics, Inc",BioSystems,United States
BlackThorn Therapeutics,Medical Diagnostics,United States
Calliditas Therapeutics,Medical Diagnostics,Sweden
"Century Therapeutics, Inc.",Genomics/Gene Therapy,United States
"Cerebral Therapeutics, Inc.",Medical Diagnostics,United States
"Cerevast Therapeutics, Inc.",Medical Diagnostics,United States
Cingulate Therapeutics LLC,Healthcare Analytics,United States
"Clarus Therapeutics, Inc.",Healthcare Analytics,United States
Cognition Therapeutics Inc.,Early Stage Biotech,United States
Compass Therapeutics,Early Stage Biotech,United States
Corvidia Therapeutics,Genomics/Gene Therapy,United States
DecImmune Therapeutics,Healthcare Analytics,United States
Entrada Therapeutics Inc,Healthcare Analytics,United States
"Exicure, Inc",BioSystems,United States
"Good Therapeutics, Inc.",BioSystems,United States
Grid Therapeutics,BioSystems,United States
Iconic Therapeutics,Bioinformatics,United States
IM Therapeutics,Healthcare Analytics,United States
Xilio Therapeutics,Healthcare Analytics,United States
"Zenobia Therapeutics, Inc.",Healthcare Analytics,United States
BioMed Diagnostics,Medical Devices,United States
